Frame: 136, Time: 00:00:20, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 16, 'Undefined': 0}
Frame: 137, Time: 00:00:20, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 16, 'Undefined': 0}
Frame: 138, Time: 00:00:20, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 16, 'Undefined': 0}
Frame: 139, Time: 00:00:20, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 16, 'Undefined': 0}
Frame: 140, Time: 00:00:20, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 16, 'Undefined': 0}
Frame: 141, Time: 00:00:20, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 16, 'Undefined': 0}
Frame: 142, Time: 00:00:21, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 16, 'Undefined': 0}
Frame: 143, Time: 00:00:21, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 16, 'Undefined': 0}
Frame: 144, Time: 00:00:21, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 16, 'Undefined': 0}
Frame: 145, Time: 00:00:21, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 16, 'Undefined': 0}
Frame: 146, Time: 00:00:21, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 16, 'Undefined': 0}
Frame: 147, Time: 00:00:21, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 16, 'Undefined': 0}
Frame: 148, Time: 00:00:22, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 16, 'Undefined': 0}
Frame: 149, Time: 00:00:22, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 16, 'Undefined': 0}
Frame: 150, Time: 00:00:22, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 17, 'Undefined': 0}
